id,product_id,property_type_id,value,,
418,74,23,"['Sầu lẻ bóng','Ai nhớ chăng ai','Hẹn hò','Sao chưa thấy hồi âm','Xót xa','Mưa qua phố vắng','Đường xưa lối cũ','Nhật kí đời tôi']",,
419,74,24,08-2011,,
420,74,25,Bolero,,
421,75,21,Lệ Quyên,,
422,75,22,Asia,,
423,75,23,"['Ướt mi','Diễm xưa','Sóng về đâu','Còn tuổi nào cho em','Ru em từng ngón xuân nồng','Ru ta ngậm ngùi','Biển nhớ','Phôi pha']",,
424,75,24,05-2015,,
425,75,25,Nhạc vàng,,
426,76,8,Blu-ray,,
427,76,9,Ed Harris,,
428,76,10,92,,
429,76,11,Warner Bros,,
430,76,12,03-2014,,
431,76,13,Tiếng Anh,,
432,76,14,Tiếng Việt,,
433,76,15,Tâm lí - hành động,,
434,77,8,Blu-ray,,
435,77,9,Amrob Victor,,
436,77,10,30,,
437,77,11,Phương Nam,,
438,77,12,05-2016,,
439,77,13,Tiếng Việt,,
440,77,14,Tiếng Việt,,
441,77,15,Hành động,,
442,78,8,Blu-ray,,
443,78,9,Edward Zwick,,
444,78,10,125,,
445,78,11,Warner Bros,,
446,78,12,03-2014,,
447,78,13,Tiếng Anh,,
448,78,14,Tiếng Việt,,
449,78,15,Hành động,,
450,78,8,Blu-ray,,
451,78,9,Đức Hoàn,,
452,78,10,120,,
453,78,11,Hãng phim truyện Việt Nams,,
454,78,12,02/2014,,
455,78,13,Tiếng Việt,,
456,78,14,Tiếng Việt,,
457,78,15,Tâm lí - chiến tranh,,
458,79,8,Blu-ray,,
459,79,9,Trần Trung Dũng,,
460,79,10,100,,
461,79,11,Hãng phim truyện Việt Nam,,
462,79,12,02-2014,,
463,79,13,Tiếng Việt,,
464,79,14,Tiếng Việt,,
465,79,15,Tâm lí - xã hội,,
466,80,8,Blu-ray,,
467,80,9,Mạnh Cường,,
468,80,10,110,,
469,80,11,Phương Nam Film,,
470,80,12,05-2016,,
471,80,13,Tiếng Việt,,
